traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Snow,Dark,Loose Snow,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,None,Had Been Drinking,None,Yes,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Yield Sign,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Yield Sign,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Yield Sign,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,Yes,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Other,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
No Control,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Clear,Dawn,Dry,Fatal,None,None,None,Yes,None,None
No Control,Clear,Dawn,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
No Control,Clear,Dawn,Dry,Fatal,Minimal,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Major,Had Been Drinking,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Fatal,Fatal,Normal,None,None,Yes,None
No Control,Rain,Dark,Wet,Fatal,Minor,"Ability Impaired, Alcohol Over .08",None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,Yes,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Had Been Drinking,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,Yes,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,Yes,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,Yes,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,Yes,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,Normal,None,None,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Fatigue,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
